name	Station	Depth	Eddy	Temperature(¡æ)	Salinity	Turbidity	DIN(¦Ìmol/L)	DRP(¦Ìmol/L)	Chl a (10^-2 ¦Ìg/L)	Synechococcus(10^3 cells/mL)	Picoeukaryote(10^3 cells/mL)	Prochlorococcus (10^5 cells/mL)	Bacteria(10^5 cells/mL)	Virus(10^6 particles/mL)	Total NP (cells/mL)	Total HNF (cells/mL)	Total NE (cells/mL)	POC (mg/m^3)
B4DS	B4	S	Ref.	30.1719	33.6963	1.928	0.36	0.02	3.513652	5.683180947	0.823649413	0.267740969	4.527	0.905166	1027.42645	750.3676471	1777.794097	32.34466171
B5DS	B5	S	Ref.	30.2789	33.3995	1.9741	0.45	0.04	3.0812242	4.623418703	1.070744236	0.160062536	3.32325	0.694572	317.4632328	311.6911765	629.1544093	32.34466171
B6DS	B6	S	Ref.	29.7602	33.516	1.9065	0.36	0.03	2.5129642	5.578852022	1.06525324	0.201135187	3.96375	0.76569	318.4411765	376.0000001	694.4411766	31.50164795
B7DS	B7	S	Ref.	29.7054	33.491	1.941	0.2	0.03	10.6861073	9.131526488	0.960924315	0.173735116	3.9505	1.159899	285.7169096	219.3382353	505.0551449	30.30607605
B8DS	B8	S	Ref.	29.3594	33.9797	1.9509	0.03	0.02	15.0272871	12.40416015	0.862086385	0.268290069	4.4715	0.768582	490.6250045	380.9558824	871.5808869	29.8898468
C1DS	C1	S	Ref.	29.8372	33.3151	1.9887	0.1	0.02	1.6993771	9.224873422	0.730302479	0.16884813	4.09075	1.031471	490.6250045	404.0441176	894.6691221	30.05903053
C3DS	C3	S	Ref.	29.7238	33.2823	1.9633	0.02	0.02	2.5012551	10.01557686	0.91150535	0.287069275	3.997	1.226573	447.3345603	468.9797793	916.3143396	28.95535851
C5DS	C5	S	Ref.	30.23	33.4243	1.9478	0.38	0.04	4.2327889	7.237132839	0.933469334	0.169781599	3.62825	0.91725	457.6418098	360.7536765	818.3954863	30.30288887
C7DS	C7	S	Ref.	29.8955	33.3014	1.9393	0.11	0.02	6.3235729	6.907673074	0.724811483	0.155614829	5.1035	1.845659	490.6249978	285.7169119	776.3419097	33.92427444
E4DS	E4	S	Ref.	29.6222	33.6794	1.9377	0.15	0.03	5.8421424	9.131526488	0.856595389	0.307276141	6.043	1.083266	461.7647053	248.1985294	709.9632347	30.34431076
A4DS	A4	S	Eddy	30.0714	33.1948	1.9882	0.49	0.06	9.0784732	12.15706533	1.197037146	0.248632303	3.69025	0.302529	386.7279414	185	571.7279414	33.15195084
