Sampling name,Station,Depth,PMNP (ind./mL),PMNP/NP (%),MCR (mL ind.-1 h-1),MGE (bact. mL-1 h-1),MTR (%),HNFg (ind./mL),HNFg/HNF (%),HCR (mL ind.-1 h-1),HGE (bact. mL-1 h-1),HTR (%)
A4DS,A4,S,64.962,16.7978553,2.31E-05,554.2089603,3.604366926,32.481,17.5572973,2.09E-05,250.2879176,1.627778612
A4DD,A4,DCM,81.37941176,14.8408984,2.14E-05,430.8336499,4.171460453,53,29.61988905,2.81E-05,369.2859856,3.575537531
A4D200,A4,200,4.401219512,0,4.44E-05,17.05081553,0.468482625,22.00609756,15.88550567,5.32E-05,102.3048932,2.810895749
A4D500,A4,500,0,0,0,0,0,21.654,34.10473654,6.45E-05,121.828464,3.350195515
A5DS,A5,S,50.526,15.0923259,2.23E-05,416.2062176,2.698986551,79,47.19525587,2.12E-05,624.3093265,4.048479826
A5DD,A5,DCM,126.315,21.6672006,2.57E-05,1073.010448,7.798985692,61,26.42038217,3.25E-05,659.1349895,4.790805496
A5D200,A5,200,11,0,4.11E-05,33.80259383,1.067099312,43,43.82165605,5.82E-05,191.5480317,6.046896102
A5D500,A5,500,0,0,0,0,0,32.481,62.52535032,6.64E-05,173.2663276,5.178570191
A6DS,A6,S,46.917,11.1346514,1.97E-05,418.585678,2.219387225,65,19.41576982,2.72E-05,799.1181126,4.237011975
A6DD,A6,DCM,93.834,16.0956347,3.10E-05,912.781369,6.970568087,47,21.42809252,3.85E-05,567.9528518,4.337242365
A6D200,A6,200,3.759375,0,5.96E-05,18.34301048,0.537852476,15.0375,20.04017638,7.45E-05,91.71505239,2.689262379
A6D500,A6,500,0,0,0,0,0,18.045,14.88698817,0.000145893,171.5169083,6.31835119
A7DS,A7,S,36.09,8.8063874,1.74E-05,304.7449846,1.509183313,76,32.91719746,2.07E-05,761.8624614,3.772958282
A7DD,A7,DCM,115.488,18.8755775,3.01E-05,1221.625732,8.351212008,43,20.09345794,2.76E-05,419.9338452,2.870729128
A7D200,A7,200,4,0,4.74E-05,14.57856031,0.410422812,25,33.31700147,0.000128614,276.992646,7.798033435
A7D500,A7,500,0,0,0,0,0,54,58.47133758,9.49E-05,600.0598024,12.33527645
B4DS,B4,S,18.045,1.7563301,2.53E-05,206.901145,1.096891425,39.699,5.290606565,3.20E-05,574.7254028,3.046920625
B4DD,B4,DCM,68.571,9.2811067,2.52E-05,531.7951262,4.141840996,75.789,22.25478571,2.78E-05,648.12531,5.047868714
B4D200,B4,200,0,0,0,0,0,25.263,15.09232594,4.12E-05,124.7760228,2.498122667
B4D500,B4,500,0,0,0,0,0,7.218,5.954795268,0.000120521,66.02676994,2.087803002
B5DS,B5,S,18.045,5.6841228,2.23E-05,133.7481925,0.96590886,28.872,9.263014861,2.39E-05,229.2826157,1.65584376
B5DD,B5,DCM,72.18,5.1969122,2.50E-05,399.3505539,2.922077224,76,11.86873598,3.10E-05,519.1557201,3.798700391
B5D200,B5,200,0,0,0,0,0,14,11.19451249,8.66E-05,93.03772127,3.001216815
B5D500,B5,500,0,0,0,0,0,7.218,9.619284664,0.000106614,38.78495577,1.846902656
B6DS,B6,S,21.654,6.8,1.77E-05,151.8647636,0.919521748,61.353,16.31728723,2.29E-05,556.8374667,3.371579741
B6DD,B6,DCM,54.135,10.5042589,3.36E-05,522.6664557,4.365406277,43,21.95695608,3.72E-05,462.3587877,3.861705553
B6D200,B6,200,0,0,0,0,0,25.263,21.88387261,6.26E-05,119.5001744,2.980518768
B6D500,B6,500,0,0,0,0,0,7.218,13.16323165,0.000121608,103.5329354,3.946805675
B7DS,B7,S,10.827,3.7894152,2.39E-05,102.3860711,0.622013848,40,18.23667449,2.48E-05,389.06707,2.363652621
B7DD,B7,DCM,86.616,12.0048673,2.77E-05,674.0110992,5.755142357,36.09,15.63133758,3.53E-05,358.0683965,3.057419377
B7D200,B7,200,0,0,0,0,0,25.263,32.42055202,0.000114161,218.5390551,6.921725268
B7D500,B7,500,0,0,0,0,0,11.51808511,21.28522565,7.59E-05,53.18390626,2.099364721
B8DS,B8,S,14.436,2.9423694,1.23E-05,79.31407204,0.425704513,18.045,4.736768963,1.77E-05,142.7653297,0.766268123
B8DD,B8,DCM,50.526,8.2192949,3.06E-05,343.848609,3.704766158,25.263,13.46699853,2.82E-05,158.699358,1.709892073
B8D200,B8,200,0,0,0,0,0,18.045,14.54077914,5.50E-05,110.3009188,2.381130696
B8D500,B8,500,0,0,0,0,0,3.609,6.581615823,5.19E-05,47.48931398,0.287541731
C1DS,C1,S,7.218,1.4711847,1.21E-05,35.74156532,0.209692005,36,8.909918108,2.30E-05,339.5448705,1.992074043
C1DD,C1,DCM,86.616,10.6237763,1.87E-05,717.2973489,3.886693317,61.353,35.43103185,2.04E-05,555.3269798,3.009052891
C1D200,C1,200,7,0,8.99E-05,56.17142283,1.297823488,25,21.12785459,7.71E-05,168.5142685,3.893470463
C1D500,C1,500,0,0,0,0,0,7.218,6.820947309,4.86E-05,36.45688637,1.01093619
