name	Station	Depth	Eddy	Group	CSCR  (mL grazer-1 h-1)	CSIR  (bacteria grazer-1 h-1)	CLGE (bacteria mL-1 h-1)	BTR (%)	Trophic type
B4DS	B4	S	Ref.	SRef.	2.53E-05	11.5	206.9	1.1	Active PMNP
B5DS	B5	S	Ref.	SRef.	2.23E-05	7.41	133.75	0.97	Active PMNP
B6DS	B6	S	Ref.	SRef.	1.77E-05	7.01	151.86	0.92	Active PMNP
B7DS	B7	S	Ref.	SRef.	2.39E-05	9.46	102.39	0.62	Active PMNP
B8DS	B8	S	Ref.	SRef.	1.23E-05	5.49	79.31	0.43	Active PMNP
C1DS	C1	S	Ref.	SRef.	1.21E-05	4.95	35.74	0.21	Active PMNP
C3DS	C3	S	Ref.	SRef.	2.28E-05	9.12	296.19	1.78	Active PMNP
C5DS	C5	S	Ref.	SRef.	1.94E-05	8.19	177.45	1.17	Active PMNP
C7DS	C7	S	Ref.	SRef.	2.27E-05	11.6	209.34	0.98	Active PMNP
E4DS	E4	S	Ref.	SRef.	1.76E-05	10.6	335.6	1.68	Active PMNP
A4DS	A4	S	Eddy	SEddy	2.31E-05	8.53	554.21	3.6	Active PMNP
A5DS	A5	S	Eddy	SEddy	2.23E-05	8.24	416.21	2.7	Active PMNP
A6DS	A6	S	Eddy	SEddy	1.97E-05	8.92	418.59	2.22	Active PMNP
A7DS	A7	S	Eddy	SEddy	1.74E-05	8.44	304.74	1.51	Active PMNP
F2DS	F2	S	Eddy	SEddy	2.87E-05	11.6	508.63	3.02	Active PMNP
F3DS	F3	S	Eddy	SEddy	1.83E-05	6.93	500.5	3.17	Active PMNP
FF2DS	FF2	S	Eddy	SEddy	2.62E-05	8.8	507.99	3.63	Active PMNP
FF4DS	FF4	S	Eddy	SEddy	3.52E-05	14.8	1017.82	5.79	Active PMNP
H3DS	H3	S	Eddy	SEddy	3.35E-05	6.46	302.93	2.03	Active PMNP
B4DD	B4	DCM	Ref.	DCMRef.	2.52E-05	7.76	531.8	4.14	Active PMNP
B5DD	B5	DCM	Ref.	DCMRef.	2.50E-05	5.53	399.35	2.92	Active PMNP
B6DD	B6	DCM	Ref.	DCMRef.	3.36E-05	9.65	522.67	4.37	Active PMNP
B7DD	B7	DCM	Ref.	DCMRef.	2.77E-05	7.78	674.01	5.76	Active PMNP
B8DD	B8	DCM	Ref.	DCMRef.	3.06E-05	6.81	343.85	3.7	Active PMNP
C1DD	C1	DCM	Ref.	DCMRef.	1.87E-05	8.28	717.3	3.89	Active PMNP
C3DD	C3	DCM	Ref.	DCMRef.	2.50E-05	7.52	434.12	3.46	Active PMNP
C5DD	C5	DCM	Ref.	DCMRef.	2.48E-05	7.85	425.22	3.22	Active PMNP
C7DD	C7	DCM	Ref.	DCMRef.	2.22E-05	6.97	528.07	4.03	Active PMNP
E4DD	E4	DCM	Ref.	DCMRef.	3.33E-05	9.59	761.19	6.34	Active PMNP
A4DD	A4	DCM	Eddy	DCMEddy	2.14E-05	5.29	430.83	4.17	Active PMNP
A5DD	A5	DCM	Eddy	DCMEddy	2.57E-05	8.49	1073.01	7.8	Active PMNP
A6DD	A6	DCM	Eddy	DCMEddy	3.10E-05	9.73	912.78	6.97	Active PMNP
A7DD	A7	DCM	Eddy	DCMEddy	3.01E-05	10.6	1221.63	8.35	Active PMNP
F2DD	F2	DCM	Eddy	DCMEddy	4.37E-05	12.8	788.79	6.46	Active PMNP
F3DD	F3	DCM	Eddy	DCMEddy	2.04E-05	6.65	839.41	6.17	Active PMNP
FF2DD	FF2	DCM	Eddy	DCMEddy	3.01E-05	11	1148.17	7.57	Active PMNP
FF4DD	FF4	DCM	Eddy	DCMEddy	4.39E-05	8.64	1028.66	8.49	Active PMNP
H3DD	H3	DCM	Eddy	DCMEddy	3.17E-05	6.57	355.66	4.12	Active PMNP
B4DS	B4	S	Ref.	SRef.	3.20E-05	14.48	574.73	3.05	Active HNF
B5DS	B5	S	Ref.	SRef.	2.39E-05	7.94	229.28	1.66	Active HNF
B6DS	B6	S	Ref.	SRef.	2.29E-05	9.08	556.84	3.37	Active HNF
B7DS	B7	S	Ref.	SRef.	2.48E-05	9.73	389.07	2.36	Active HNF
B8DS	B8	S	Ref.	SRef.	1.77E-05	7.91	142.77	0.77	Active HNF
C1DS	C1	S	Ref.	SRef.	2.30E-05	9.43	339.54	1.99	Active HNF
C3DS	C3	S	Ref.	SRef.	2.14E-05	8.55	462.8	2.78	Active HNF
C5DS	C5	S	Ref.	SRef.	1.85E-05	6.7	241.98	1.6	Active HNF
C7DS	C7	S	Ref.	SRef.	1.94E-05	9.9	465.2	2.19	Active HNF
E4DS	E4	S	Ref.	SRef.	2.05E-05	14.08	106.0271315	0.71	Active HNF
A4DS	A4	S	Eddy	SEddy	2.09E-05	7.71	250.29	1.63	Active HNF
A5DS	A5	S	Eddy	SEddy	2.12E-05	7.9	624.31	4.05	Active HNF
